Site,Stream,D50_gravel_m,ustar_ms,emb_ero
1,Stroubles460,0.00474,0.018389429,0.9571
1,Stroubles460,0.00474,0.029809797,0.9571
4,NF Roanoke Bburg CC,0.024,0.032694417,0.238
5,NF Roanoke Holiness,0.025,0.027602549,0.2027
1,Stroubles460,0.00474,0.014700566,0.9042
1,Stroubles460,0.00474,0.029413962,0.9042
6,Stroubles Bridge 1,0.011,0.020105118,0.727243867
6,Stroubles Bridge 1,0.011,0.029677921,0.727243867
7,Stroubles Bridge 2,0.017,0.019319241,0.511479631
7,Stroubles Bridge 2,0.017,0.03073103,0.511479631
8,Stroubles US BDA,0.0195,0.018249444,0.426359389
8,Stroubles US BDA,0.0195,0.028222625,0.426359389
9,Stroubles DS BDA,0.022,0.017030301,0.46362158
9,Stroubles DS BDA,0.022,0.030862368,0.46362158
1,Stroubles460,0.00474,0.013,0.92
1,Stroubles460,0.00474,0.0139,0.92
1,Stroubles460,0.00474,0.0162,0.92
1,Stroubles460,0.00474,0.0167,0.92
1,Stroubles460,0.00474,0.0153,0.92
1,Stroubles460,0.00474,0.025015,0.94037037
1,Stroubles460,0.00474,0.021985,0.94037037
1,Stroubles460,0.00474,0.022167,0.94037037
1,Stroubles460,0.00474,0.023438,0.94037037