time_s,MassF_kg_s
0,4.43471E-05
0.5,7.67921E-05
1,1.27729E-05
1.5,2.59494E-05
2,5.92866E-05
2.5,0.000130693
3,8.47089E-05
3.5,0.000861218
4,0.000878752
4.5,0.003489615
5,0.001576258
5.5,0.001178481
6,0.000681939
6.5,0.001362491
7,0.00137894
7.5,0.001267803
8,0.001136853
8.5,0.001279423
9,0.001136362
9.5,0.000703103
10,0.000673151
10.5,0.000766184
11,0.000643456
11.5,0.000103514
12,0.000287597
12.5,0.000632297
13,0.000383581
13.5,0.000278669
14,0.000305609
14.5,0.000252428
15,4.08058E-05
15.5,6.17195E-05
16,5.58476E-05
16.5,0.000106727
17,3.31324E-05
17.5,5.0945E-05
18,3.69923E-05